,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
Belgium,0.3894391365068228,0.006028133178716535,0.007965465769177206,0.2935327465791205,0.019834226474164898,0.005471228229377619,0.002413515147625491,0.07284065816730849,0.1599246947872597,0.001403227615884472,0.0006786684446698937,0.0036370192783290825,0.02666496024438002,0.007731720940419026,0.0012779948441217766,0.00028769737807352524,0.0007727257787141557,5.593105863256805e-06,2.6245327648167577e-05,6.434220232346561e-05
Bulgaria,0.8298246416306077,0.022055654783722838,0.06413770902744328,0.02227830284630653,0.012880333979174806,0.0010077517703189023,0.0005625723329324379,0.00787045512212316,0.002020212419511633,0.003731344711453699,0.017868871446909188,0.006507782465569993,0.006419204658735706,0.0006775305148670315,0.00026443946346934064,0.00040998342650214956,2.6678271607884178e-05,0.000943469201245969,0.00035659142048868376,0.00015647050700897273
Czechia,0.8916338701460154,0.006208773976433046,0.017726325220890977,0.007659861824890672,0.023860161416891373,1.0794521958832488e-05,0.00517333634534661,0.016184805550371977,0.008871613348200703,0.011018521574067519,5.2965516953454834e-05,0.0033502432467447823,0.0008388724010063796,0.003724235664387523,0.0025480775389919524,0.000867922460041812,0.0001745089011705068,1.0093215586991868e-08,9.473068988940705e-05,3.695625315327853e-07
Denmark,0.11239324505841028,0.00896025943389123,0.004334291409755823,0.27452782684960636,0.0005200513986270505,0.00027080662370853155,0.059111921107348885,0.021645805198769456,0.0661002043185816,0.3291679860756012,0.028118546800539955,0.04330978307875011,0.00541809194639023,0.00030807335510166846,0.007399855128444296,0.00028557793547272567,0.008238909261785466,0.027534717768068085,0.0002998516769182927,0.0020541955742286815
Germany,0.8468921709071354,0.06962715894843233,0.05379601919183918,0.02007930239709976,0.005518203970288433,0.003667489740250017,0.0002659169598797692,1.033685479099783e-05,9.611860011210215e-05,1.2631355563984162e-07,1.1730614164786037e-05,6.7037729005696555e-06,1.8393426874137968e-05,4.755869771325021e-06,7.401695307004354e-07,2.854209300195746e-07,3.7943653203376786e-06,6.184074182121758e-07,4.748170897728926e-08,8.658799744456951e-08
Estonia,0.7517196230568802,0.028948143060631957,0.0911700154702219,0.019890633122495345,0.02586903315004895,0.0020090319903563122,0.00017548913765118085,0.0006430026030980618,0.007938160165917944,0.0038026699204807167,0.003097456311136931,0.0008974017685745647,0.026540459882930773,0.025137814364127063,0.0009276578903924844,0.010172698921311148,0.0009962640669752868,2.3178569504483916e-05,7.037229731623952e-07,4.056282429160694e-05
Ireland,0.6625715723216978,0.005541434837598935,0.021993649709756577,0.02496226198802282,4.337120031741823e-06,0.005882828176952824,0.028832591814027295,0.039710883450577904,0.10245733407085054,0.03827760675061751,0.028145779003068392,0.015047715889248263,0.00400689028586285,0.011658574262741993,0.00014499316358255776,0.00987043864753651,0.0007919711745107748,8.407313389526902e-06,9.06352120492488e-05,9.480787608511041e-08
Greece,0.6492601195725459,0.03408453378048713,0.02731795560491797,0.03155684744731788,0.0038772261958910682,0.0066977811000025755,0.004219101506818168,0.09724441618473698,9.421889684469597e-05,6.848856328120784e-05,0.048399848954691974,0.069065300368862,0.005495153088202022,0.0032957525691889753,0.0027495670306978523,0.004697496030581187,7.889736676614542e-07,0.006299716949322176,0.005478492710955334,9.719447098713847e-05
Spain,0.29455499008666053,0.022426892223000462,0.25551090295488266,0.05043419266057005,0.041237864709688946,0.012127163457557535,0.3136761003170817,0.006500418102101154,0.000610811323133399,0.0021464522403246214,9.616381019426611e-05,0.0002873636959295201,0.00035692223907272236,3.288591839973435e-06,5.694259181615022e-06,2.1169278940499984e-05,5.26775482987994e-07,1.7359798557833383e-06,1.311366056856689e-06,3.59284447234489e-08
France,0.7565055583575576,0.23795765069664077,1.9332307848146893e-06,0.0014766756345944256,0.0005156164456408983,0.00018096338367068297,0.003050472895261619,0.00026838937852653413,3.1694975646684627e-06,8.94558749747486e-06,9.526519167474378e-06,2.9800945924945325e-06,1.4313605669967157e-05,1.685102389601541e-06,8.805678957193496e-07,3.610152792106483e-07,8.264869213084909e-07,5.997470368081232e-09,4.432751641180236e-08,1.1753579315191185e-09
Croatia,0.8994229448911191,0.032662218196507296,0.030405220571041107,0.00168921816488409,0.015731035570254064,0.0030654104765176146,0.0004884278470717273,0.001304533766534213,0.003920644702040033,0.005171342464268126,2.3176541382595375e-08,0.0007709124146162273,8.830644758319062e-05,0.0011669867499087701,0.0021544637598069063,0.0002944027097462238,0.0008311796607047197,5.522429312050372e-05,3.927176224385201e-06,0.0007735769615104312
Italy,0.268055179090366,0.0968926322519236,0.537607080590049,5.991819372271358e-06,0.0003222409953792723,0.05858138240658861,0.03457543447467281,0.003129890386729727,9.305685073031887e-06,2.4883068405574474e-05,0.0003822567515281021,0.00016649982024494737,0.00014915680402510946,2.0433912520460703e-05,2.6593896975855427e-09,5.426886297172493e-08,4.414052816407607e-05,2.980086044404357e-06,2.8489861659738573e-05,1.964539000726567e-06
Cyprus,0.8199377262175945,0.0035841797103169726,0.0012948762333046839,0.0003247990509096294,0.07104803593275996,0.017470673433585587,0.00177719213108162,0.029987328838077722,0.035882359032185514,0.00023581103819302074,6.0899037283487645e-05,0.012412106249661816,0.0006640831797356171,8.651897961309568e-05,0.0004908952894497961,0.0020241690543553333,4.8306517498480074e-09,0.0018323154394427744,8.505296031762213e-05,0.0008009733614794959
Latvia,0.8461491414617343,0.050588817696681714,0.01954494401804878,0.01405068328692868,3.408359238165765e-05,0.0007158529982544701,0.00979626687981897,0.009470101137152893,0.0039310465598932035,6.657883559140757e-05,0.012931967205151131,0.020024546372619502,0.0009921697746504742,0.0032028386006523017,0.0031649886629638952,0.001734263489194147,0.0013828181399457714,0.00011363165077265184,0.0010451824286689209,0.0010600772088952004
Lithuania,0.9002825245940232,0.012638707697388223,0.041045110316520396,0.010691862999966361,0.007122077060693782,0.00152781021324471,0.0023689841680492292,0.004573155740732899,0.0010400131305645045,0.0075255945137812095,0.001010362950780474,0.00015398840639776966,2.20743703544693e-05,0.0015829177177087215,1.791036186047659e-05,0.007243505462960381,0.00018244934280979035,0.0002637473836855067,0.0006321708355130642,7.503273296475337e-05
Luxembourg,0.6673757866645825,0.00942319999058646,0.07560656772634874,0.0021469436574475752,0.04649747506296852,0.044118546796206776,0.0062311969944201795,0.06930725166069389,0.006092449573877076,0.003172773998508426,0.009483870330519784,0.006711378883595005,4.863720241133037e-07,0.005095176966673388,0.041013075611099556,0.001055822635059533,0.004223021052028692,0.0019125420845275086,3.844531906185962e-08,0.0005323954935130927
Hungary,0.16058809561147794,0.05784170146313724,0.0003606635900704532,0.052250345191110575,0.4090249834356449,0.008969845700757758,0.10585268003631779,3.003118939783913e-07,0.011348887354256128,0.003907539525321052,0.006343448413818468,0.12585592390326988,0.019208487119080197,0.0014020740692999474,0.03329004671716078,0.00022072660465058592,0.0016475883214188706,0.00011916898260669039,0.0017668572769790258,6.363717277521781e-07
Malta,0.8300885198439635,0.01988368422153045,0.06653245686101825,0.008007772632907986,0.024455903916512325,0.01144516259503346,0.00041667135353899763,0.001521988214773815,0.0012808379322508472,6.827991597643581e-05,0.02118678091212767,0.0037296209282653954,0.008914962184023326,0.0007065515937598792,0.0010384787639725168,0.0002274702678386125,5.489940428147736e-06,9.059395860635452e-05,0.00017917438599806708,0.00021959957747390537
Netherlands,0.022909366503842624,0.25846659900823055,0.20355453061995454,0.15416336144515724,0.005338827640981475,0.0023434987200679097,9.708733896041406e-05,0.17365034314263167,0.037614406943153114,0.0002393348003077738,0.03974710767741673,0.0009048365444473038,0.0447275286160429,0.04617872025808071,0.0015698467411182717,0.00026672462795759584,0.006704063326698268,0.000728287314611582,0.000781640573755851,1.3888156583572968e-05
Austria,0.028772456603551128,0.00032144742146326434,0.0015366778401459938,0.09280267380422451,0.0006721541332243122,0.047318405544496164,0.13703058635379523,0.5503818681469672,0.10327824150127232,0.010438546696471842,0.024360217148249902,3.235738983738507e-05,0.0014620593433473659,0.0001885710472856569,0.000565006648162101,0.0001915696496276335,2.1103340673684643e-07,3.338565626890719e-06,0.00013260837608095212,0.000511002752763397
Poland,0.07750251957454313,0.13369516704070872,0.02432621621902141,0.03716542003093858,0.6445259698541265,0.054356380891152786,0.020279241205997535,1.784354657861143e-09,0.002707538990795177,0.0009247617017136031,0.0014648585107977547,0.00034346344504970045,0.0015372655159561109,0.00015471982360884477,0.0009535563658215934,1.4025823958763957e-06,5.233854378385438e-05,9.95392129385718e-07,6.883854646430471e-06,1.2986724583127915e-06
Portugal,0.5777893047040598,0.03853437414033721,4.51740765574408e-06,0.040071143662134996,0.08725209489152468,0.037710055178340085,0.007356550408567891,0.018791277223433867,0.027744324061099893,0.08530767808175573,0.00877416152228495,0.004007402981676669,0.041266617345730526,2.241814784846691e-06,0.0037323922516645587,8.955204320467871e-05,0.021311430457574897,0.00018129564598243412,2.7177822038967093e-05,4.640835614766163e-05
Romania,0.2742281654923181,0.01345080905729705,0.00015984273114962022,0.01059665128429233,0.19191687922650788,0.18742143381970486,0.047298998941697,0.03701127270467764,0.010053110240990934,0.07286688758847397,0.027738215700643797,0.047760522700478744,0.055816507138767575,0.0032399143564078594,0.013037109207992965,0.0016448164684836049,0.0001927810506108442,0.002765980351993884,0.0027916366255264016,8.46531198471894e-06
Slovenia,0.7947409684396247,0.00109449502788293,0.11181914164769961,0.00074163480192573,0.019210004943719283,0.004649126468034314,0.00011422830497776245,0.004708619008892281,0.019285185224353057,0.0028780344232478324,0.016805005399581383,0.0008133298233971337,0.009162938272197626,0.006084206656541692,0.0031303952971734874,0.0005814310428243277,0.00037484538006040915,0.0008721392644790523,0.0020751843979068393,0.0008590861754804869
Slovakia,0.8144942081035728,0.049622373653906926,0.0316489099546981,0.004158923635727669,0.024863703901573362,0.0009809355666671109,1.2852663323374365e-07,0.015268831487399099,1.4054104081364217e-05,0.016773281344570495,0.002933386902041016,0.00017972905270973613,0.017980646305514197,0.0028696370015923334,0.009427739353048312,0.0036150484179534436,0.0010161379581291505,0.001729526011951689,0.00221532092354102,0.00020747779468893897
Finland,0.41342443522495087,0.0007833750041664426,0.05217279647187373,0.1815270087066852,0.007580366063247162,0.023321055399327967,0.019387257976992856,0.07495835012355041,0.07983640462735035,0.03236086921243734,0.016347762955591903,0.0005264585953889801,0.0022576013484121695,0.06063251945966463,0.027706162942188035,8.13609375269095e-05,0.00038912776608710176,0.005088120459547456,0.0016012532553612464,1.771346964910401e-05
Sweden,0.33895902172076886,0.09669794627355745,0.0010278398243950472,0.5191404209171984,0.00020947835367981713,0.030427285476795164,0.010619545707579203,0.0008979300055723562,0.0005442972929282457,2.112630600007033e-06,0.0001979622289658232,1.424401414428782e-05,0.0006022594520399393,0.0003039937892717989,0.00025384940474505166,2.0404028608895807e-05,1.2286837479484366e-06,6.289693972570092e-05,1.4697956089785145e-05,2.585299586299338e-06
Iceland,0.709294664857047,4.5849197780416686e-05,0.06794876461142177,0.00024979020382995146,0.06454651929243246,0.008796560556202131,0.007264187608222067,0.03115278208293314,0.013599334354599405,0.011762182609129652,4.463351795298933e-05,0.06525468667657056,0.0023077972070006158,0.0016222709506594896,0.010096568818173772,0.004845436597792912,0.0008811758132487123,5.086282963593809e-05,0.0002339097556938718,2.0224596734138313e-06
Liechtenstein,0.5911411760302312,0.017334070080976868,0.0010753801653443135,0.03734388025343022,0.0260089062597355,0.05420862474435427,6.757988036582874e-06,0.06463128201797791,0.016987717457765554,0.045375874372406345,0.048817827228628846,0.0008903252302888225,0.019492395621475835,0.032473779409262646,0.0025104140619788533,0.04137859138859878,0.000264339520475539,9.446039159887836e-06,3.9427633010316704e-05,9.784496861889156e-06
Norway,0.42501135371366483,0.03526900540223001,0.013921403834981394,0.08721653166338077,0.005852977942749447,0.0776900118831345,0.011166339262787291,0.022448886704287158,0.003917558243492961,0.09371454437001994,0.102856168440451,0.07194946034853461,0.006983343079507014,0.002934164505051049,0.00021717553248179797,0.00186811564575381,0.01300554798030966,0.011311353194638036,0.012332139610025137,0.00033391864251946363
Switzerland,0.16990672503054555,0.03773188089794888,0.012606017580071089,0.046969753499782635,0.22213903824601297,0.06419929162296384,0.008665463870882555,0.013713089562643667,0.22939328921857655,0.014456182335047517,0.050099040117865284,0.0005926839366179231,0.0751478063597149,0.0007819972287377691,0.03978297415267787,0.002480932765207914,0.006307737747041643,0.0025055933266425793,0.0023299613350397574,0.00019054116597914074
England and Wales,0.14409797165701904,0.028577241823382067,0.12344313776960097,0.0933191393553697,0.12202704438441793,0.00018954972984017613,0.008517354318395322,0.1505142146637548,0.0001909480829343362,0.18061698856982564,0.040715156875722615,0.00037638064389475126,0.006552268075854193,0.02583768916277627,0.020419693459430347,0.004750392579116379,0.018821124633113872,0.0015768352987170497,0.0073070360343782306,0.0221498328824563
Scotland,0.14409797165701904,0.028577241823382067,0.12344313776960097,0.0933191393553697,0.12202704438441793,0.00018954972984017613,0.008517354318395322,0.1505142146637548,0.0001909480829343362,0.18061698856982564,0.040715156875722615,0.00037638064389475126,0.006552268075854193,0.02583768916277627,0.020419693459430347,0.004750392579116379,0.018821124633113872,0.0015768352987170497,0.0073070360343782306,0.0221498328824563
Northern Ireland (UK),0.14409797165701904,0.028577241823382067,0.12344313776960097,0.0933191393553697,0.12202704438441793,0.00018954972984017613,0.008517354318395322,0.1505142146637548,0.0001909480829343362,0.18061698856982564,0.040715156875722615,0.00037638064389475126,0.006552268075854193,0.02583768916277627,0.020419693459430347,0.004750392579116379,0.018821124633113872,0.0015768352987170497,0.0073070360343782306,0.0221498328824563
Bosnia and Herzegovina,0.9018647306406841,0.022886391579397432,0.042072869771254996,0.004186370415724967,9.625883209854087e-05,0.00021843659470078752,5.381856070685985e-05,0.014438897750591892,0.0008483348789278799,0.0065504587513440255,0.00032039294655390933,3.1705679089068557e-05,0.0008743568335906757,0.0021858338977272245,2.8303228029821862e-05,0.002208519420386805,0.0011246086108970864,4.6699049722833036e-07,6.405978613875232e-06,2.8386391827487613e-06
Montenegro,0.7878023074047522,0.0023292864724384155,0.019271279948841893,0.03430805332851616,0.021715049106108053,0.01824220485818955,0.016210621528873013,0.005962830098271039,0.00011434359824048517,0.06490903033176942,0.020825211809149,1.3974691153135985e-05,0.00010193379462327906,0.00310216618362692,0.001491089927232913,3.558678643508133e-07,0.00043061776686947564,5.477462961794238e-05,0.00023130456500917404,0.0028835640888534428
North Macedonia,0.14409797165701904,0.028577241823382067,0.12344313776960097,0.0933191393553697,0.12202704438441793,0.00018954972984017613,0.008517354318395322,0.1505142146637548,0.0001909480829343362,0.18061698856982564,0.040715156875722615,0.00037638064389475126,0.006552268075854193,0.02583768916277627,0.020419693459430347,0.004750392579116379,0.018821124633113872,0.0015768352987170497,0.0073070360343782306,0.0221498328824563
Albania,0.8269406194277742,0.023210227249157306,0.05927501815135219,0.000955719245778943,0.012201082940991015,0.00156910446673754,0.0005183102472442288,0.007801198567502044,0.0014810542556209366,0.023892392581319588,0.006765997160392853,0.009767403254848032,0.00013912223885339771,0.013405462431036559,1.7983920470010573e-05,0.006882883269098132,0.004591493927675309,8.535889534778358e-05,5.4924910261190355e-05,0.00044464285853860797
Serbia,0.8215923183650314,0.05443776456259053,0.0011850672318858225,0.0025989812676449064,0.00957554967500801,0.005350907148506937,0.0037342544400727775,0.04199650039846034,0.0006686424837072037,0.00021384175808748294,0.025005579412513492,0.017363901777638004,0.004392177970926677,0.005814895261180971,8.088667995112215e-06,0.0009405111231739249,0.004256903799021811,0.00031205806632536966,0.00037878909027053257,0.0001732674999587848
Turkey,0.09868847746308243,0.016729759091657404,0.16780659849560292,0.12127938849299229,0.09937347419695762,0.4900075664565697,0.0017862905360634587,0.004135048070197048,5.0687537862497255e-05,1.548383577537845e-05,3.2306738896923294e-05,3.966127239690849e-07,3.411179450998445e-05,1.4085608398782437e-05,3.688893428219329e-05,3.874297207565277e-07,5.186932616810331e-06,2.557314950346725e-06,1.0630206444904632e-06,2.414364949428532e-07
Kosovo*,0.7092312672784441,1.1276377714083155e-06,0.003147061691266797,0.014795580193404925,0.008354038925532686,0.012217045350031479,0.0058950014940471595,0.046000006996650966,0.03116547056225293,0.043492018772764575,0.06788985075751729,0.013667322783887858,3.398871219693366e-05,0.004401624518004564,0.015227594365252825,0.006317332101793117,0.0005659007847054161,0.010806725431809355,0.0030516219644171343,0.0037394196782485796
